Title,IMDb Rating,Your Rating,Year,Metascore,RT Audience,RT Critics
Slumdog Millionaire,8,8,2008,84,90,91
The Doors,7.2,8,1991,62,79,57
(500) Days of Summer,7.7,10,2009,76,84,85
The Last Boy Scout,7,7,1991,52,68,47
Argo,7.7,6,2012,86,90,96
Death Proof,7,7,2007,,72,65
Hachi: A Dog's Tale,8.1,6,2009,46,84,64
Druk,7.8,8,2020,80,91,92
The Silence of the Lambs,8.6,8,1991,85,95,96
Terminator 2: Judgment Day,8.5,7,1991,75,94,93
RocknRolla,7.3,8,2008,53,71,60
Home Alone 2: Lost in New York,6.8,7,1992,73,61,34
Silver Linings Playbook,7.7,9,2012,81,86,92
Up,8.2,9,2009,88,90,98
Of Mice and Men,7.5,7,1992,,82,97
Reservoir Dogs,8.3,8,1992,79,94,92
Transformers: Revenge of the Fallen,6,4,2009,35,57,20
Minari,7.7,8,2020,89,88,98
Die Welle,7.6,7,2008,,80,67
A Bronx Tale,7.8,8,1993,80,93,97
Bienvenue chez les Ch'tis,7.1,8,2008,,78,67
Boyhood,7.9,8,2014,100,80,97
Yes Man,6.8,8,2008,46,66,46
Groundhog Day,8,8,1993,72,88,96
The Trial of the Chicago 7,7.8,8,2020,76,91,89
Jurassic Park,8.1,7,1993,68,91,91
Skyfall,7.8,9,2012,81,86,92
Schindler's List,8.9,8,1993,94,97,97
Sleepless in Seattle,6.8,8,1993,72,75,75
Eddie the Eagle,7.4,9,2015,54,82,82
True Romance,7.9,8,1993,59,93,93
Blended,6.5,6,2014,31,64,15
Paul,7,7,2011,57,62,70
Ed Wood,7.8,9,1994,70,88,92
Forrest Gump,8.8,10,1994,82,95,71
Foxcatcher,7,6,2014,81,66,87
Legends of the Fall,7.6,6,1994,45,87,58
The Lion King,8.5,10,1994,88,93,93
Léon,8.5,9,1994,64,95,74
The Mask,6.9,8,1994,56,68,77
Natural Born Killers,7.3,5,1994,74,81,48
Pulp Fiction,8.9,10,1994,94,96,92
The Shawshank Redemption,9.3,10,1994,80,98,91
Speed,7.2,8,1994,78,76,94
The Hangover,7.7,8,2009,73,84,78
Blue Valentine,7.4,8,2010,81,77,86
Apollo 13,7.6,7,1995,77,87,96
Braveheart,8.3,7,1995,68,85,78
The Wrestler,7.9,8,2008,80,88,98
Casino,8.2,8,1995,73,93,80
Big Eyes,7,7,2014,62,68,72
Die Hard: With a Vengeance,7.6,8,1995,58,83,59
Shutter Island,8.2,9,2010,63,77,68
The Boat That Rocked,7.4,9,2009,58,71,59
Heat,8.2,7,1995,76,94,87
District 9,7.9,8,2009,81,82,90
Se7en,8.6,9,1995,65,95,83
Toy Story,8.3,9,1995,95,92,100
The Usual Suspects,8.5,8,1995,77,96,89
Zombieland,7.6,7,2009,73,86,89
Biutiful,7.5,7,2010,58,74,66
Jerry Maguire,7.3,7,1996,77,79,83
Demolition,7,7,2015,49,54,53
An Education,7.3,7,2009,85,80,93
Romeo + Juliet,6.7,7,1996,60,77,72
Trainspotting,8.1,9,1996,83,93,91
10 Cloverfield Lane,7.2,7,2016,76,79,90
La vita è bella,8.6,9,1997,59,,
Dark City,7.6,6,1998,66,85,76
The Devil's Advocate,7.5,7,1997,60,80,63
Donnie Brasco,7.7,7,1997,76,89,88
Le dîner de cons,7.7,4,1998,73,90,74
The Game,7.8,7,1997,61,84,75
Gattaca,7.8,8,1997,64,87,83
Good Will Hunting,8.3,8,1997,70,94,98
Home Alone 3,4.5,6,1997,,27,29
The Jackal,6.4,5,1997,36,52,23
Jackie Brown,7.5,7,1997,64,85,87
L.A. Confidential,8.2,8,1997,90,94,99
Law Abiding Citizen,7.4,8,2009,34,75,26
David Attenborough: A Life on Our Planet,9,8,2020,72,96,95
Titanic,7.8,8,1997,75,69,89
Toy Story 2,7.9,9,1999,88,87,100
The Truman Show,8.1,8,1998,90,89,95
The Man Who Knew Too Little,6.7,8,1997,,69,39
Gran Torino,8.1,10,2008,72,90,81
American History X,8.5,9,1998,62,96,83
Being John Malkovich,7.7,7,1999,90,87,94
Eyes Wide Shut,7.4,9,1999,68,73,75
Fear and Loathing in Las Vegas,7.6,5,1998,41,89,49
The Green Mile,8.6,9,1999,61,94,78
"Lock, Stock and Two Smoking Barrels",8.2,9,1998,66,93,75
The Lord of the Rings: The Fellowship of the Ring,8.8,10,2001,92,95,91
Saving Private Ryan,8.6,9,1998,91,95,93
Star Wars: Episode I - The Phantom Menace,6.5,8,1999,51,59,52
Moneyball,7.6,7,2011,87,86,94
Doctor Strange,7.5,8,2016,72,85,89
Lawless,7.3,7,2012,58,74,66
First Man,7.3,7,2018,84,67,87
The World's End,7,6,2013,81,71,89
Star Wars: Episode II - Attack of the Clones,6.5,7,2002,54,56,65
Star Wars: Episode III - Revenge of the Sith,7.5,8,2005,68,66,80
Limitless,7.4,9,2011,59,74,69
Beautiful Boy,7.3,8,2018,62,77,68
Iron Man 2,7,6,2010,57,71,72
Due Date,6.5,7,2010,51,52,40
That's My Boy,5.5,4,2012,31,51,20
21 Jump Street,7.2,8,2012,69,82,84
The Tourist,6,7,2010,37,42,20
This Is the End,6.6,6,2013,67,71,83
Notting Hill,7.1,7,1999,68,79,83
Incendies,8.3,8,2010,80,92,92
Abre los ojos,7.7,8,1997,,88,85
X: First Class,7.7,7,2011,65,87,86
Looper,7.4,7,2012,84,82,93
Easy A,7,6,2010,72,77,85
The Social Network,7.7,6,2010,95,86,96
You've Got Mail,6.7,8,1998,57,73,70
Warrior,8.2,8,2011,71,92,83
Pirates of the Caribbean: On Stranger Tides,6.6,6,2011,45,54,33
Iron Man Three,7.1,6,2013,62,78,79
50/50,7.6,9,2011,72,88,93
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,6.7,5,2020,68,64,85
A Single Man,7.6,7,2009,77,81,86
Despicable Me,7.6,9,2010,72,82,81
The Butler,7.2,9,2013,65,78,72
The Matrix,8.7,9,1999,73,85,88
The Dark Knight Rises,8.4,8,2012,78,90,87
Black Mass,6.9,7,2015,68,68,73
Cloud Atlas,7.4,6,2012,55,66,66
Fight Club,8.8,9,1999,66,96,79
Inception,8.8,8,2010,74,91,87
Grown Ups,5.9,5,2010,30,62,11
The Other Guys,6.7,8,2010,64,60,78
Suicide Squad,6,5,2016,40,59,26
The Hunger Games,7.2,7,2012,68,81,84
Mad Max: Fury Road,8.1,10,2015,90,86,97
Prisoners,8.1,9,2013,70,87,81
Training Day,7.7,6,2001,69,89,73
Taken 2,6.3,6,2012,45,52,22
Unknown,6.8,7,2011,44,55,55
Remember Me,7.1,8,2010,40,69,27
The Hangover Part II,6.5,7,2011,44,52,33
Big Daddy,6.4,8,1999,41,74,39
Deadpool,8,9,2016,65,90,85
Disconnect,7.5,7,2012,64,75,70
Les petits mouchoirs,7.1,8,2010,50,64,42
American Psycho,7.6,8,2000,64,85,70
Testament of Youth,7.3,8,2014,76,78,84
Filth,7.1,6,2013,56,67,66
The Help,8,9,2011,62,89,76
Gravity,7.7,6,2013,96,80,95
Spider-Man,7.3,7,2002,73,67,90
The Next Three Days,7.3,8,2010,52,66,50
Buried,7,8,2010,65,65,87
Bridget Jones's Baby,6.5,8,2016,59,65,78
The Change-Up,6.3,8,2011,39,47,25
The Lego Movie,7.7,9,2014,83,87,96
Horrible Bosses,6.9,8,2011,57,70,69
The King's Speech,8,9,2010,88,92,94
A Star Is Born,7.6,7,2018,88,79,90
Office Space,7.7,7,1999,68,93,80
Melancholia,7.2,7,2011,80,67,80
Daddy's Home,6.2,6,2015,42,49,30
Beginners,7.2,7,2010,81,77,85
Captain Phillips,7.8,8,2013,82,89,93
127 Hours,7.5,9,2010,82,85,93
Festen,8,7,1998,82,94,91
The Girl with the Dragon Tattoo,7.8,9,2011,76,86,87
"Crazy, Stupid, Love.",7.4,7,2011,68,78,79
This Means War,6.3,7,2012,31,56,26
The Big Short,7.8,7,2015,81,88,88
The Drop,7.1,7,2014,69,76,89
The Grey,6.8,8,2011,64,61,79
Only God Forgives,5.7,5,2013,37,37,42
Frank,7,4,2014,75,72,92
The Vow,6.8,6,2012,43,63,31
Hodejegerne,7.5,8,2011,72,85,93
Savages,6.5,7,2012,59,54,50
Cast Away,7.8,9,2000,73,84,89
Edge of Tomorrow,7.9,7,2014,71,90,91
Friends with Benefits,6.5,8,2011,63,65,68
In Time,6.7,7,2011,53,51,36
Ted,6.9,7,2012,62,73,69
The Man from U.N.C.L.E.,7.3,8,2015,56,73,68
Inside Job,8.2,8,2010,88,91,98
The Perks of Being a Wallflower,8,8,2012,67,89,85
The Revenant,8,8,2015,57,84,78
Mulholland Dr.,7.9,7,2001,85,87,83
The Lord of the Rings: The Return of the King,8.9,10,2003,94,86,93
The Lord of the Rings: The Two Towers,8.7,10,2002,87,95,95
Intouchables,8.5,10,2011,57,93,75
Ready Player One,7.4,5,2018,64,77,72
American Beauty,8.3,10,1999,84,93,87
Snowpiercer,7.1,6,2013,84,72,94
We're the Millers,7,7,2013,44,72,48
Gladiator,8.5,8,2000,67,87,77
Bohemian Rhapsody,8,9,2018,49,85,60
"Et soudain, tout le monde me manque",6.5,7,2011,,,
Wreck-It Ralph,7.7,7,2012,72,86,87
Southpaw,7.4,7,2015,57,75,60
Her,8,7,2013,90,82,94
American Hustle,7.2,8,2013,90,74,92
Requiem for a Dream,8.3,10,2000,68,93,79
Les femmes du 6e étage,7.1,8,2010,,67,67
Unbroken,7.2,9,2014,59,70,51
Minority Report,7.6,8,2002,80,80,90
The Place Beyond the Pines,7.3,9,2012,68,75,78
Almost Famous,7.9,5,2000,90,92,89
Black Panther,7.3,7,2018,88,79,96
Captain America: The Winter Soldier,7.7,7,2014,70,92,90
Django Unchained,8.4,9,2012,81,91,87
Blade Runner 2049,8,8,2017,81,81,88
The Amazing Spider-Man 2,6.6,6,2014,53,64,51
The Judge,7.4,8,2014,48,72,49
The Patriot,7.2,8,2000,63,81,62
X-Men: Days of Future Past,7.9,6,2014,75,91,90
Spotlight,8.1,7,2015,93,93,97
The Whole Nine Yards,6.7,8,2000,47,64,44
Furious 6,7,5,2013,61,84,70
Trance,6.9,8,2013,61,62,68
Seven Psychopaths,7.2,8,2012,66,71,83
Ford v Ferrari,8.1,7,2019,81,98,92
The Hangover Part III,5.8,6,2013,30,44,20
Noah,5.7,2,2014,68,41,76
The Hitman's Bodyguard,6.9,6,2017,47,67,43
Rush,8.1,9,2013,74,88,89
Thor: The Dark World,6.9,5,2013,54,75,66
"Monsters, Inc.",8.1,9,2001,79,90,96
Neighbors,6.3,5,2014,68,63,73
War Dogs,7.1,7,2016,57,69,61
Guardians of the Galaxy,8,8,2014,76,92,92
12 Years a Slave,8.1,8,2013,96,90,95
De rouille et d'os,7.5,8,2012,73,80,82
Side Effects,7.1,7,2013,75,70,81
Point Break,5.4,5,2015,34,29,11
Steve Jobs,7.2,9,2015,82,73,85
Snatch,8.3,9,2000,55,93,73
The Imitation Game,8,8,2014,73,91,89
Memento,8.4,8,2000,80,94,93
Dumb and Dumber To,5.6,7,2014,36,35,30
Inside Out,8.1,7,2015,28,89,98
Spring Breakers,5.3,8,2012,63,38,67
Jagten,8.3,8,2012,77,93,93
Le fabuleux destin d'Amélie Poulain,8.3,8,2001,69,,
Hacksaw Ridge,8.1,6,2016,71,91,84
Turist,7.3,7,2014,87,75,94
Meet the Parents,7,7,2000,73,79,84
Hannibal,6.8,6,2001,57,62,40
Pearl Harbor,6.2,7,2001,44,66,24
The Bling Ring,5.6,4,2013,66,33,60
Long Shot,6.8,7,2019,67,74,81
The Accountant,7.3,6,2016,51,76,51
Horrible Bosses 2,6.3,8,2014,40,47,35
St. Vincent,7.2,8,2014,64,78,77
American Sniper,7.3,7,2014,72,84,72
